	true_y	pred_y
0	0,0	True
1	1,0	True
2	0,0	True
3	1,0	True
4	1,0	True
5	1,0	True
6	0,0	True
7	1,0	True
8	1,0	True
9	1,0	True
10	1,0	True
11	1,0	True
12	1,0	True
13	1,0	True
14	0,0	True
15	1,0	True
16	0,0	True
17	0,0	True
18	1,0	True
19	0,0	True
20	1,0	True
21	1,0	False
22	1,0	True
23	1,0	True
24	1,0	True
25	0,0	True
26	1,0	False
27	1,0	True
28	1,0	True
29	0,0	True
30	1,0	False
31	0,0	True
32	0,0	True
33	1,0	True
34	1,0	True
35	1,0	True
36	0,0	True
37	1,0	True
38	1,0	True
39	1,0	True
40	1,0	True
41	1,0	True
42	1,0	True
43	0,0	True
44	0,0	True
45	1,0	True
46	1,0	True
47	0,0	True
48	1,0	True
49	1,0	True
50	1,0	False
51	1,0	True
52	1,0	True
53	0,0	True
54	1,0	True
55	1,0	True
56	1,0	True
57	1,0	True
58	0,0	True
59	0,0	True
60	1,0	True
61	0,0	True
62	1,0	True
63	1,0	True
64	0,0	True
65	1,0	True
66	1,0	True
67	1,0	True
68	0,0	True
69	1,0	True
70	1,0	True
71	0,0	True
72	1,0	True
73	0,0	True
74	1,0	True
75	0,0	True
76	0,0	True
77	0,0	True
78	1,0	True
79	1,0	True
80	0,0	True
81	1,0	True
82	0,0	True
83	1,0	True
84	1,0	True
85	0,0	True
86	0,0	True
87	1,0	True
88	1,0	True
89	0,0	True
90	1,0	True
91	1,0	True
92	0,0	True
93	0,0	True
94	1,0	True
95	1,0	True
96	0,0	True
97	1,0	True
98	0,0	True
99	0,0	True
100	0,0	False
101	1,0	True
102	0,0	True
103	1,0	False
104	1,0	True
105	1,0	True
106	0,0	False
107	1,0	True
108	1,0	True
109	1,0	True
110	1,0	False
111	1,0	True
112	1,0	True
113	1,0	True
114	0,0	True
115	1,0	False
116	0,0	False
117	0,0	True
118	1,0	True
119	0,0	True
120	1,0	False
121	1,0	True
122	1,0	True
123	1,0	True
124	1,0	True
125	0,0	True
126	1,0	False
127	1,0	True
128	1,0	False
129	0,0	True
130	1,0	False
131	0,0	False
132	0,0	True
133	1,0	True
134	1,0	True
135	1,0	True
136	0,0	True
137	1,0	True
138	1,0	True
139	1,0	True
140	1,0	True
141	1,0	True
142	1,0	True
143	0,0	False
144	0,0	True
145	1,0	True
146	1,0	True
147	0,0	True
148	1,0	False
149	1,0	True
150	1,0	False
151	1,0	True
152	1,0	True
153	0,0	False
154	1,0	True
155	1,0	True
156	1,0	True
157	1,0	True
158	0,0	False
159	0,0	False
160	1,0	True
161	0,0	True
162	1,0	False
163	1,0	True
164	0,0	False
165	1,0	True
166	1,0	True
167	1,0	True
168	0,0	False
169	1,0	True
170	1,0	True
171	0,0	False
172	1,0	True
173	0,0	False
174	1,0	True
175	0,0	True
176	0,0	False
177	0,0	False
178	1,0	True
179	1,0	False
180	0,0	True
181	1,0	True
182	0,0	False
183	1,0	True
184	1,0	False
185	0,0	True
186	0,0	True
187	1,0	True
188	1,0	True
189	0,0	True
190	1,0	True
191	1,0	False
192	0,0	True
193	0,0	False
194	1,0	True
195	1,0	True
196	0,0	True
197	1,0	False
198	0,0	False
199	0,0	True
200	0,0	True
201	1,0	True
202	0,0	True
203	1,0	True
204	1,0	False
205	1,0	True
206	0,0	False
207	1,0	True
208	1,0	True
209	1,0	True
210	1,0	False
211	1,0	False
212	1,0	True
213	1,0	False
214	0,0	True
215	1,0	True
216	0,0	True
217	0,0	True
218	1,0	True
219	0,0	True
220	1,0	False
221	1,0	False
222	1,0	True
223	1,0	True
224	1,0	True
225	0,0	True
226	1,0	False
227	1,0	True
