	true_y	pred_y
0	1,0	False
1	1,0	True
2	0,0	False
3	0,0	True
4	1,0	True
5	0,0	True
6	1,0	True
7	0,0	True
8	1,0	True
9	0,0	False
10	0,0	True
11	0,0	True
12	1,0	True
13	0,0	True
14	0,0	False
15	1,0	True
16	1,0	True
17	0,0	True
18	1,0	True
19	1,0	True
20	0,0	True
21	0,0	False
22	1,0	False
23	0,0	True
24	1,0	False
25	1,0	False
26	0,0	True
27	1,0	False
28	1,0	False
29	0,0	False
30	1,0	False
31	1,0	False
32	0,0	True
33	1,0	False
34	1,0	False
35	0,0	True
36	1,0	True
37	1,0	False
38	1,0	False
39	1,0	False
40	1,0	True
41	1,0	False
42	0,0	False
43	1,0	False
44	1,0	True
45	1,0	False
46	1,0	False
47	1,0	True
48	1,0	False
49	1,0	True
50	1,0	False
51	0,0	True
52	1,0	True
53	1,0	False
54	0,0	True
55	1,0	False
56	1,0	True
57	0,0	True
58	0,0	False
59	0,0	True
60	0,0	True
61	0,0	True
62	0,0	True
63	1,0	False
64	0,0	False
65	1,0	False
66	1,0	True
67	0,0	True
68	1,0	True
69	1,0	False
70	1,0	False
71	1,0	True
72	1,0	False
73	0,0	False
74	1,0	True
75	1,0	True
76	1,0	True
77	1,0	False
78	0,0	True
79	0,0	True
80	0,0	True
81	1,0	True
82	1,0	False
83	0,0	True
84	1,0	True
85	0,0	True
86	1,0	False
87	1,0	False
88	0,0	True
89	1,0	False
90	1,0	True
91	0,0	True
92	1,0	True
93	1,0	True
94	0,0	False
95	0,0	True
96	0,0	True
97	0,0	False
98	0,0	True
99	1,0	True
100	1,0	True
101	1,0	True
102	0,0	True
103	0,0	False
104	1,0	True
105	0,0	False
106	1,0	True
107	0,0	False
108	1,0	False
109	0,0	False
110	0,0	False
111	0,0	True
112	1,0	True
113	0,0	False
114	0,0	True
115	1,0	False
116	1,0	True
117	0,0	False
118	1,0	False
119	1,0	True
120	0,0	True
121	0,0	True
122	1,0	True
123	0,0	False
124	1,0	True
125	1,0	True
126	0,0	False
127	1,0	True
128	1,0	True
129	0,0	False
130	1,0	True
131	1,0	True
132	0,0	True
133	1,0	False
134	1,0	True
135	0,0	False
136	1,0	False
137	1,0	True
138	1,0	True
139	1,0	True
140	1,0	True
141	1,0	True
142	0,0	True
143	1,0	True
144	1,0	False
145	1,0	True
146	1,0	False
147	1,0	True
148	1,0	True
149	1,0	False
150	1,0	True
151	0,0	True
152	1,0	True
153	1,0	False
154	0,0	False
155	1,0	False
156	1,0	True
157	0,0	False
158	0,0	True
159	0,0	False
160	0,0	True
161	0,0	False
162	0,0	False
163	1,0	True
164	0,0	True
165	1,0	True
166	1,0	True
167	0,0	True
168	1,0	True
169	1,0	True
170	1,0	True
171	1,0	False
172	1,0	True
173	0,0	False
174	1,0	False
175	1,0	True
176	1,0	False
177	1,0	False
178	0,0	False
179	0,0	False
180	0,0	True
181	1,0	False
182	1,0	True
183	0,0	False
184	1,0	False
185	0,0	True
186	1,0	False
187	1,0	True
188	0,0	False
189	1,0	True
190	1,0	False
191	0,0	True
192	1,0	True
193	1,0	True
194	0,0	True
195	0,0	False
196	0,0	False
197	0,0	True
198	0,0	True
199	1,0	True
200	1,0	False
201	1,0	True
202	0,0	False
203	0,0	True
204	1,0	True
205	0,0	True
206	1,0	True
207	0,0	True
208	1,0	True
209	0,0	False
210	0,0	True
211	0,0	False
212	1,0	True
213	0,0	False
214	0,0	False
215	1,0	True
216	1,0	False
217	0,0	True
218	1,0	True
219	1,0	True
220	0,0	True
221	0,0	False
222	1,0	True
223	0,0	True
224	1,0	False
225	1,0	False
226	0,0	False
227	1,0	True
228	1,0	False
229	0,0	False
230	1,0	False
231	1,0	False
232	0,0	False
233	1,0	True
234	1,0	True
235	0,0	False
236	1,0	True
237	1,0	False
238	1,0	False
239	1,0	True
240	1,0	True
241	1,0	True
242	0,0	False
243	1,0	False
244	1,0	True
245	1,0	False
246	1,0	True
247	1,0	True
248	1,0	False
249	1,0	True
250	1,0	False
251	0,0	False
252	1,0	True
253	1,0	True
254	0,0	True
255	1,0	True
256	1,0	True
257	0,0	True
258	0,0	False
259	0,0	True
260	0,0	True
261	0,0	False
262	0,0	True
263	1,0	False
264	0,0	False
265	1,0	False
266	1,0	False
267	0,0	False
268	1,0	True
269	1,0	False
270	1,0	False
271	1,0	True
272	1,0	False
273	0,0	False
274	1,0	True
275	1,0	True
276	1,0	True
277	1,0	True
278	0,0	True
279	0,0	True
280	0,0	False
281	1,0	True
282	1,0	False
283	0,0	True
284	1,0	True
285	0,0	True
286	1,0	True
287	1,0	False
288	0,0	True
289	1,0	False
290	1,0	True
291	0,0	False
292	1,0	True
293	1,0	False
294	0,0	False
295	0,0	True
296	0,0	True
297	0,0	False
298	0,0	False
299	1,0	True
300	1,0	False
301	1,0	True
302	0,0	True
303	0,0	False
304	1,0	True
305	0,0	True
306	1,0	True
307	0,0	False
308	1,0	False
309	0,0	False
310	0,0	True
311	0,0	True
312	1,0	True
313	0,0	True
314	0,0	True
315	1,0	False
316	1,0	False
317	0,0	True
318	1,0	True
319	1,0	False
320	0,0	True
321	0,0	True
322	1,0	False
323	0,0	True
324	1,0	False
325	1,0	False
326	0,0	True
327	1,0	False
328	1,0	False
329	0,0	False
330	1,0	False
331	1,0	False
332	0,0	True
333	1,0	False
334	1,0	False
335	0,0	True
336	1,0	False
337	1,0	True
338	1,0	False
339	1,0	True
340	1,0	False
341	1,0	True
342	0,0	True
343	1,0	True
344	1,0	False
345	1,0	False
346	1,0	False
347	1,0	True
348	1,0	True
349	1,0	True
350	1,0	True
351	0,0	True
352	1,0	True
353	1,0	False
354	0,0	True
355	1,0	False
356	1,0	False
357	0,0	True
358	0,0	True
359	0,0	True
360	0,0	True
361	0,0	False
362	0,0	True
363	1,0	False
364	0,0	True
365	1,0	False
366	1,0	False
367	0,0	True
368	1,0	True
369	1,0	True
370	1,0	False
371	1,0	True
372	1,0	False
373	0,0	True
374	1,0	False
375	1,0	True
376	1,0	True
377	1,0	False
378	0,0	True
379	0,0	True
380	0,0	True
381	1,0	False
382	1,0	False
383	0,0	True
384	1,0	True
385	0,0	True
386	1,0	False
387	1,0	True
